Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
Administrationsøkonom, København N, Studiestart: sommerstart; 125 ; 13 ; 428 ; 112 ; 4,1 ;Alle optaget, ledige pladser
Laborant, København N, Studiestart: sommer- og vinterstart; 154 ; 20 ; 577 ; 209 ; 6,8 ;6,1
Professionshøjskolen Metropol / Metropolitan UC i alt; 3.286 ; 603 ; 13.164 ; 5.340 ;;
Professionshøjskolen UCC;;;;;;
Professionsbachelor i afspændingspædagogik og psykomotorik, Hillerød, Studiestart: sommerstart; 34 ; 7 ; 289 ; 176 ; 100 % kvote 2 ;
Professionsbachelor, folkeskolelærer, Rønne, Studiestart: sommerstart; 12 ;; 27 ; 19 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, København V, Studiestart: sommerstart; 364 ;; 1.139 ; 418 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, København V, Studiestart: vinterstart; 61 ;; 376 ; 85 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, København V, E-læring, Studiestart: sommerstart; 72 ;; 258 ; 104 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Hillerød, Studiestart: sommerstart; 40 ; 6 ; 693 ; 123 ; 8,8 ;8,3
Professionsbachelor, fysioterapeut, Hillerød, Studiestart: vinterstart; 40 ; 6 ; 478 ; 42 ; 8,1 ;7,7
Professionsbachelor, pædagog, København V, Studiestart: sommerstart; 770 ; 154 ; 2.387 ; 1.338 ; 5,7 ;3,9
Professionsbachelor, pædagog, København V, Studiestart: vinterstart; 615 ;; 1.423 ; 364 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Hillerød, Studiestart: sommerstart; 160 ; 31 ; 777 ; 206 ; 4,4 ;Alle optaget
Professionsbachelor, pædagog, Hillerød, E-læring, Studiestart: sommerstart; 40 ; 6 ; 223 ; 63 ; 4,4 ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Hillerød, E-læring, Studiestart: vinterstart; 23 ;; 99 ; 15 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Hillerød, Studiestart: vinterstart; 66 ;; 446 ; 37 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Rønne, Studiestart: sommerstart; 35 ;; 56 ; 35 ; 3,5 ;Alle optaget, ledige pladser
Professionsbachelor, sygeplejerske, Hillerød, Studiestart: sommerstart; 74 ; 15 ; 857 ; 175 ; 6,9 ;5,4
Professionsbachelor, sygeplejerske, Hillerød, E-læring, Studiestart: sommerstart; 30 ; 10 ; 331 ; 97 ; 6,4 ;5,4
Professionsbachelor, sygeplejerske, Hillerød, Studiestart: vinterstart; 74 ; 15 ; 640 ; 76 ; 6,1 ;5,5
Professionsbachelor, sygeplejerske, Hillerød, E-læring, Studiestart: vinterstart; 30 ; 10 ; 199 ; 33 ; 5,0 ;4,1
Professionsbachelor, sygeplejerske, Rønne, Studiestart: sommerstart; 21 ; 6 ; 99 ; 35 ; 6,4 ;5,8
Professionsbachelor, sygeplejerske, Rønne, Studiestart: vinterstart; 20 ; 3 ; 70 ; 13 ; 4,6 ;Alle optaget, ledige pladser
Professionsbachelor i dansk tegnsprog og tolkning, Aarhus C, Studiestart: sommerstart; 20 ; 5 ; 93 ; 31 ; 6,9 ;5,8
Professionsbachelor i dansk tegnsprog og tolkning, København V, Studiestart: sommerstart; 42 ; 10 ; 151 ; 54 ; 5,9 ;4,6
Professionsbachelor i tekstildesign, -håndværk og formidling, København V, Studiestart: sommerstart; 43 ;; 89 ; 46 ; 100 % kvote 2, ledige pladser ;
Professionshøjskolen UCC i alt; 2.686 ; 284 ; 11.200 ; 3.585 ;;
Professionshøjskolen Sjælland University College;;;;;;
Professionsbachelor, bioanalytiker, Næstved, Studiestart: sommerstart; 46 ; 4 ; 246 ; 69 ; 6,9 ;6,8
Professionsbachelor, bioanalytiker, Næstved, E-læring, Studiestart: sommerstart; 16 ; 3 ; 128 ; 32 ; 6,4 ;6
Professionsbachelor, ergoterapeut, Næstved, Studiestart: sommerstart; 42 ; 6 ; 219 ; 61 ; 5,9 ;5,7
Professionsbachelor, ergoterapeut, Næstved, E-læring, Studiestart: sommerstart; 32 ; 4 ; 157 ; 44 ; 5,1 ;4,4
Professionsbachelor i Leisure Management, Nykøbing F, Study start: Summer start; 28 ;; 80 ; 33 ; Alle optaget, ledige pladser ;
Professionsbachelor i Leisure Management, Roskilde, Studiestart: sommerstart; 155 ; 8 ; 335 ; 155 ; 3,6 ;Alle optaget
Professionsbachelor i Leisure Management, Roskilde, E-læring, Studiestart: vinterstart; 34 ;; 77 ; 30 ; Alle optaget, ledige pladser ;
Professionsbachelor i ernæring og sundhed, Sorø, Studiestart: sommerstart; 94 ; 7 ; 316 ; 88 ; 5,4 ;Alle optaget
Professionsbachelor i ernæring og sundhed, Sorø, Studiestart: vinterstart; 43 ;; 211 ; 32 ; Alle optaget ;
Professionsbachelor i ernæring og sundhed, Sorø, E-læring, Studiestart: sommerstart; 66 ; 9 ; 202 ; 82 ; 5,6 ;3,2
Professionsbachelor i ernæring og sundhed, Sorø, E-læring, Studiestart: vinterstart; 31 ;; 126 ; 22 ; Alle optaget ;
Professionsbachelor, folkeskolelærer, Roskilde, Studiestart: sommerstart; 128 ;; 487 ; 154 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Roskilde, Studiestart: vinterstart; 18 ;; 171 ; 29 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Roskilde, E-læring, Studiestart: sommerstart; 39 ;; 156 ; 58 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Vordingborg, Studiestart: sommerstart; 64 ;; 185 ; 91 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Vordingborg, Studiestart: vinterstart; 2 ;; 45 ; 5 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Roskilde, Studiestart: sommerstart; 48 ; 3 ; 803 ; 151 ; 9,2 ;9,0
Professionsbachelor, fysioterapeut, Roskilde, Studiestart: vinterstart; 46 ; 8 ; 582 ; 54 ; 8,2 ;7,6
Professionsbachelor, fysioterapeut, Næstved, Studiestart: sommerstart; 53 ; 5 ; 518 ; 118 ; 8,4 ;7,1
Professionsbachelor, fysioterapeut, Næstved, E-læring, Studiestart: vinterstart; 32 ; 5 ; 240 ; 41 ; 7,2 ;6,8
Professionsbachelor i offentlig administration, Næstved, Studiestart: sommerstart; 60 ;; 139 ; 41 ; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Næstved, Studiestart: vinterstart; 3 ;; 36 ;; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Næstved, E-læring, Studiestart: sommerstart; 42 ;; 87 ; 34 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Roskilde, Studiestart: sommerstart; 154 ; 10 ; 1.067 ; 353 ; 6,3 ;5,5
Professionsbachelor, pædagog, Roskilde, Studiestart: vinterstart; 136 ; 6 ; 525 ; 91 ; 3,8 ;3,1
Professionsbachelor, pædagog, Roskilde, E-læring, Studiestart: sommerstart; 55 ; 12 ; 234 ; 86 ; 4,5 ;Alle optaget
Professionsbachelor, pædagog, Roskilde, E-læring, Studiestart: vinterstart; 39 ; 4 ; 165 ; 32 ; 3,9 ;Alle optaget
Professionsbachelor, pædagog, Slagelse, Studiestart: sommerstart; 116 ; 15 ; 517 ; 210 ; 5,3 ;4,3
Professionsbachelor, pædagog, Slagelse, Studiestart: vinterstart; 77 ; 2 ; 279 ; 41 ; 2,7 ;Alle optaget
Professionsbachelor, pædagog, Nykøbing F, Studiestart: sommerstart; 77 ; 3 ; 208 ; 97 ; 3,9 ;Alle optaget
Professionsbachelor, pædagog, Nykøbing F, Studiestart: vinterstart; 19 ;; 102 ; 12 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Vordingborg, Studiestart: sommerstart; 77 ; 10 ; 243 ; 117 ; 5,3 ;3,6
Professionsbachelor, pædagog, Vordingborg, Studiestart: vinterstart; 34 ;; 110 ; 24 ; Alle optaget, ledige pladser ;
Professionsbachelor, socialrådgiver, Roskilde, Studiestart: sommerstart; 90 ; 7 ; 1.003 ; 344 ; 7,7 ;7,1
Professionsbachelor, socialrådgiver, Roskilde, Studiestart: vinterstart; 90 ; 15 ; 607 ; 94 ; 6,0 ;5,4
Professionsbachelor, socialrådgiver, Nykøbing F, Studiestart: sommerstart; 57 ; 6 ; 236 ; 110 ; 5,5 ;4,4
Professionsbachelor, socialrådgiver, Nykøbing F, Studiestart: vinterstart; 31 ; 5 ; 170 ; 27 ; 4,6 ;3,9
Professionsbachelor, socialrådgiver, Nykøbing F, E-læring, Studiestart: sommerstart; 44 ; 6 ; 252 ; 93 ; 5,6 ;4,2
Professionsbachelor, sygeplejerske, Roskilde, Studiestart: sommerstart; 86 ; 9 ; 1.108 ; 211 ; 7,5 ;6,4
Professionsbachelor, sygeplejerske, Roskilde, Studiestart: vinterstart; 85 ; 12 ; 776 ; 90 ; 6,0 ;5,3
Professionsbachelor, sygeplejerske, Slagelse, Studiestart: sommerstart; 42 ; 6 ; 543 ; 115 ; 7,7 ;5,8
Professionsbachelor, sygeplejerske, Slagelse, Studiestart: vinterstart; 42 ; 3 ; 375 ; 33 ; 5,5 ;5,1
Professionsbachelor, sygeplejerske, Slagelse, E-læring, Studiestart: sommerstart; 65 ; 10 ; 350 ; 119 ; 5,2 ;3,9
Professionsbachelor, sygeplejerske, Slagelse, E-læring, Studiestart: vinterstart; 44 ; 9 ; 205 ; 37 ; 4,2 ;3.0
Professionsbachelor, sygeplejerske, Næstved, Studiestart: sommerstart; 43 ; 5 ; 447 ; 89 ; 6,5 ;6,3
Professionsbachelor, sygeplejerske, Næstved, Studiestart: vinterstart; 41 ; 6 ; 328 ; 35 ; 5,6 ;5,1
Professionsbachelor, sygeplejerske, Nykøbing F, Studiestart: sommerstart; 43 ; 6 ; 220 ; 62 ; 5,8 ;5,1
Professionsbachelor, sygeplejerske, Nykøbing F, Studiestart: vinterstart; 28 ; 6 ; 156 ; 11 ; 4,4 ;3,9
Professionshøjskolen Sjælland University College i alt; 2.737 ; 235 ; 15.772 ; 3.957 ;;
Professionshøjskolen UC Syddanmark;;;;;;
Professionsbachelor, bioanalytiker, Esbjerg Ø, Studiestart: sommerstart; 41 ; 12 ; 202 ; 62 ; 6,7 ;5,2
Professionsbachelor, ergoterapeut, Esbjerg Ø, Studiestart: sommer- og vinterstart; 69 ; 17 ; 258 ; 77 ; 5,1 ;Alle optaget, ledige pladser
Professionsbachelor i erhvervssprog og IT-baseret markedskommunikation, Haderslev, Studiestart: sommerstart; 48 ;; 70 ; 44 ; Alle optaget ;Alle optaget, ledige pladser
Professionsbachelor i ernæring og sundhed, Haderslev, Studiestart: sommerstart; 40 ; 14 ; 175 ; 57 ; 6,4 ;5,3
Professionsbachelor, folkeskolelærer, Haderslev, Studiestart: sommerstart; 142 ;; 329 ; 190 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Esbjerg Ø, Studiestart: sommer- og vinterstart; 84 ;; 217 ; 98 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Esbjerg Ø, Studiestart: sommer- og vinterstart; 109 ; 22 ; 543 ; 112 ; 6,8 ;6,4
Professionsbachelor, fysioterapeut, Haderslev, Studiestart: sommerstart; 37 ; 6 ; 351 ; 77 ; 7,9 ;7,6
Professionsbachelor i grafisk kommunikation, Haderslev, Studiestart: sommerstart; 44 ; 4 ; 154 ; 71 ; 100 % kvote 2 ;
Professionsbachelor, jordemoder, Esbjerg Ø, Studiestart: sommer- og vinterstart; 59 ; 10 ; 444 ; 139 ; 10,4 ;10,3
Professionsbachelor i medie- og sonokommunikation, Haderslev, Studiestart: sommerstart; 40 ; 3 ; 191 ; 156 ; 100 % kvote 2 ;
Professionsbachelor i offentlig administration, Esbjerg Ø, Studiestart: sommerstart; 45 ;; 86 ; 41 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Kolding, Studiestart: sommer- og vinterstart; 154 ; 30 ; 628 ; 231 ; 5,1 ;3,9
Professionsbachelor, pædagog, Aabenraa, E-læring, Studiestart: sommer- og vinterstart; 39 ; 4 ; 182 ; 62 ; 4,1 ;2,6
Professionsbachelor, pædagog, Aabenraa, Studiestart: sommer- og vinterstart; 186 ; 1 ; 348 ; 199 ; 2,9 ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Esbjerg Ø, Studiestart: sommer- og vinterstart; 210 ; 2 ; 429 ; 207 ; 3,7 ;Alle optaget, ledige pladser
Professionsbachelor, socialrådgiver, Esbjerg Ø, Studiestart: sommer- og vinterstart; 170 ; 23 ; 479 ; 162 ; 4,6 ;Alle optaget, ledige pladser
Professionsbachelor, socialrådgiver, Aabenraa, Studiestart: sommer- og vinterstart; 101 ; 23 ; 302 ; 158 ; 5,2 ;2,7
Professionsbachelor, sygeplejerske, Sønderborg, Studiestart: sommer- og vinterstart; 120 ; 12 ; 381 ; 159 ; 5,9 ;4,4
Professionsbachelor, sygeplejerske, Esbjerg Ø, Studiestart: sommer- og vinterstart; 119 ; 21 ; 540 ; 196 ; 6,7 ;5,3
Laborant, Esbjerg Ø, Studiestart: sommerstart; 17 ; 7 ; 89 ; 28 ; 6,0 ;3,9
Professionshøjskolen UC Syddanmark i alt; 1.874 ; 211 ; 6.398 ; 2.526 ;;
Professionshøjskolen Lillebælt University College;;;;;;
Professionsbachelor, bioanalytiker, Odense SØ, Studiestart: sommerstart; 37 ; 4 ; 281 ; 101 ; 8,6 ;8,5
Professionsbachelor, ergoterapeut, Odense SØ, Studiestart: sommer- og vinterstart; 82 ; 13 ; 428 ; 125 ; 6,5 ;5,8
Professionsbachelor, folkeskolelærer, Odense V, Studiestart: sommerstart; 237 ;; 623 ; 281 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Jelling, Studiestart: sommerstart; 124 ;; 341 ; 173 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Odense SØ, Studiestart: sommer- og vinterstart; 140 ; 24 ; 912 ; 278 ; 8,5 ;8,0
Professionsbachelor i offentlig administration, Odense C, Studiestart: sommer- og vinterstart; 70 ; 3 ; 157 ; 68 ; 3,7 ;Alle optaget, ledige pladser
Professionsbachelor i offentlig administration, Odense C, E-læring, Studiestart: sommerstart; 35 ;; 109 ; 33 ; Alle optaget ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Odense V, Studiestart: sommer- og vinterstart; 331 ; 45 ; 1.042 ; 563 ; 5,5 ;4,5
Professionsbachelor, pædagog, Svendborg, Studiestart: vinterstart; 66 ; 20 ; 298 ; 75 ; 4,3 ;Alle optaget
Professionsbachelor, pædagog, Jelling, Studiestart: sommer- og vinterstart; 124 ; 20 ; 402 ; 141 ; 4,1 ;3,0
Professionsbachelor, radiograf, Odense SØ, Studiestart: sommer- og vinterstart; 72 ; 4 ; 380 ; 145 ; 7,8 ;7,2
Professionsbachelor, socialrådgiver, Odense C, Studiestart: sommer- og vinterstart; 210 ; 25 ; 790 ; 289 ; 6,2 ;5,9
Professionsbachelor, socialrådgiver, Odense C, E-læring, Studiestart: sommer- og vinterstart; 90 ; 15 ; 377 ; 116 ; 5,4 ;4,6
Professionsbachelor, socialrådgiver, Vejle, Studiestart: sommer- og vinterstart; 80 ; 10 ; 531 ; 195 ; 7,0 ;6,4
Professionsbachelor, sygeplejerske, Odense SØ, Studiestart: sommer- og vinterstart; 220 ; 30 ; 1.086 ; 413 ; 7,7 ;5,7
Professionsbachelor, sygeplejerske, Svendborg, Studiestart: sommer- og vinterstart; 80 ; 18 ; 449 ; 89 ; 5,5 ;5
Professionsbachelor, sygeplejerske, Vejle, Studiestart: sommer- og vinterstart; 192 ; 15 ; 891 ; 255 ; 5,9 ;4,5
Professionshøjskolen Lillebælt University College i alt; 2.190 ; 246 ; 9.097 ; 3.340 ;;
Professionshøjskolen VIA University College;;;;;;
Professionsbachelor i afspændingspædagogik og psykomotorik, Randers C, Studiestart: sommer- og vinterstart; 55 ; 12 ; 183 ; 103 ; 100 % kvote 2 ;
Bandagist/ortopædiingeniør, Aarhus N, Studiestart: vinterstart; 8 ;; 26 ; 11 ; Alle optaget, ledige pladser ;
Professionsbachelor, bioanalytiker, Aarhus N, Studiestart: sommer- og vinterstart; 129 ; 15 ; 444 ; 178 ; 7,0 ;5,6
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Horsens, Studiestart: sommer- og vinterstart; 58 ;; 130 ; 77 ; Alle optaget, ledige pladser ;
Bachelor of Architectural Technology and Construction Management, Horsens, Study start: Summer start and winter start; 49 ;; 172 ; 74 ; Alle optaget, ledige pladser ;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Aarhus C, Studiestart: sommer- og vinterstart; 191 ;; 307 ; 173 ; Alle optaget ;
Bachelor of Architectural Technology and Construction Management, Aarhus C, Study start: Summer start and winter start; 77 ;; 194 ; 78 ; Alle optaget ;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Holstebro, Studiestart: sommer- og vinterstart; 28 ;; 63 ; 40 ; Alle optaget, ledige pladser ;
Professionsbachelor, ergoterapeut, Holstebro, Studiestart: sommer- og vinterstart; 72 ; 4 ; 212 ; 64 ; 4,9 ;Alle optaget, ledige pladser
Professionsbachelor, ergoterapeut, Aarhus N, Studiestart: sommer- og vinterstart; 120 ; 25 ; 416 ; 147 ; 6,6 ;5,7
Bachelor of Value Chain Management, Horsens, Study start: Summer start; 41 ;; 150 ; 52 ; Alle optaget, ledige pladser ;
Bachelor of Value Chain Management, Aarhus C, Study start: Summer start; 68 ;; 199 ; 90 ; Alle optaget, ledige pladser ;
Professionsbachelor i ernæring og sundhed, Aarhus N, Studiestart: sommerstart; 70 ; 12 ; 404 ; 174 ; 9,2 ;8,0
Bachelor of Global Nutrition and Health, Aarhus N, Study start: Summer start; 37 ; 18 ; 238 ; 91 ; 8,7 ;6,2
Professionsbachelor, folkeskolelærer, Lemvig, Studiestart: sommer- og vinterstart; 47 ;; 123 ; 60 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Skive, Studiestart: sommerstart; 66 ;; 142 ; 71 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Aarhus C, Studiestart: sommerstart; 494 ; 29 ; 1.135 ; 575 ; Alle optaget ;Alle optaget, ledige pladser
Professionsbachelor, folkeskolelærer, Silkeborg, Studiestart: sommerstart; 115 ;; 396 ; 130 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Holstebro, Studiestart: sommer- og vinterstart; 80 ; 17 ; 479 ; 136 ; 8,0 ;6,8
Professionsbachelor, fysioterapeut, Aarhus N, Studiestart: sommer- og vinterstart; 146 ; 28 ; 1.123 ; 449 ; 9,5 ;8,5
Bachelor of Engineering in Materials Science and Product Design, Herning, Study start: Summer start; 13 ;; 50 ; 17 ; Alle optaget, ledige pladser ;
Diplomingeniør, byggeri og anlæg, Horsens, Studiestart: sommer- og vinterstart; 31 ;; 64 ; 29 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Global Business Engineering, Horsens, Study start: Summer start; 27 ;; 107 ; 35 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Global Business Engineering, Aarhus C, Study start: Summer start; 76 ;; 189 ; 81 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Information and Communication Technology, Horsens, Study start: Summer start and winter start; 158 ;; 334 ; 198 ; Alle optaget ;
Diplomingeniør, maskinteknologi, Horsens, Studiestart: sommerstart; 12 ;; 29 ; 12 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Civil Engineering, Horsens, Study start: Summer start and winter start; 47 ;; 126 ; 66 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Mechanical Engineering, Horsens, Study start: Summer start; 73 ;; 189 ; 96 ; Alle optaget, ledige pladser ;
Diplomingeniør, forsyningsteknik i vand, spildevand og fjernvarme, Horsens, Studiestart: sommerstart; 9 ;; 22 ; 12 ; Alle optaget ;
Bachelor of Engineering in Supply Engineering, Water, Waste Water and District Heating, Horsens, Study start: Summer start; 19 ;; 62 ; 22 ; Alle optaget, ledige pladser ;
Bachelor of Animation, Viborg, Study start: Summer start; 50 ; 5 ; 434 ; 393 ; 100 % kvote 2 ;
Professionsbachelor i Multiplatform Storytelling and Production, Aarhus C, Studiestart: sommerstart; 30 ; 2 ; 220 ; 155 ; 100 % kvote 2 ;
Professionsbachelor i kristendom, kultur og kommunikation, Højbjerg, Studiestart: sommerstart; 45 ;; 79 ; 36 ; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Aarhus C, Studiestart: sommerstart; 85 ;; 204 ; 64 ; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Aarhus C, E-læring, Studiestart: vinterstart; 15 ;; 50 ; 16 ; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Viborg, Studiestart: sommerstart; 20 ;; 71 ; 17 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Ikast, Studiestart: sommer- og vinterstart; 118 ; 13 ; 336 ; 140 ; 4,1 ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Holstebro, Studiestart: sommer- og vinterstart; 166 ; 19 ; 452 ; 207 ; 4,5 ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Aarhus C, Studiestart: sommer- og vinterstart; 436 ; 70 ; 1.505 ; 758 ; 6,4 ;5,3
Professionsbachelor, pædagog, Grenaa, Studiestart: sommerstart; 30 ; 5 ; 132 ; 49 ; 6,4 ;5,2
Professionsbachelor, pædagog, Randers C, Studiestart: sommer- og vinterstart; 106 ; 20 ; 587 ; 204 ; 5,8 ;4,9
Professionsbachelor, pædagog, Horsens, Studiestart: sommer- og vinterstart; 128 ; 30 ; 508 ; 162 ; 5,3 ;4,2
Professionsbachelor, pædagog, Viborg, Studiestart: sommer- og vinterstart; 168 ; 10 ; 486 ; 168 ; 4,4 ;Alle optaget, ledige pladser
Professionsbachelor, pædagog, Viborg, E-læring, Studiestart: sommerstart; 54 ; 20 ; 233 ; 107 ; 5,8 ;3',0
Professionsbachelor, pædagog, Thisted, Studiestart: sommer- og vinterstart; 64 ; 7 ; 167 ; 68 ; 4,3 ;Alle optaget, ledige pladser
Professionsbachelor i diakoni og socialpædagogik, Højbjerg, Studiestart: sommer- og vinterstart; 78 ; 10 ; 241 ; 107 ; 7,4 ;5,0
Professionsbachelor, socialrådgiver, Aarhus C, Studiestart: sommer- og vinterstart; 300 ; 62 ; 1.104 ; 464 ; 7,3 ;6,3
Professionsbachelor, socialrådgiver, Aarhus C, E-læring, Studiestart: vinterstart; 50 ; 16 ; 316 ; 95 ; 6,0 ;5,0
Professionsbachelor, socialrådgiver, Holstebro, Studiestart: sommer- og vinterstart; 128 ; 14 ; 333 ; 146 ; 5,3 ;Alle optaget, ledige pladser
Professionsbachelor, sygeplejerske, Holstebro, Studiestart: sommer- og vinterstart; 90 ; 19 ; 421 ; 140 ; 6,8 ;5,9
Professionsbachelor, sygeplejerske, Thisted, Studiestart: sommerstart; 23 ; 4 ; 138 ; 50 ; 7,9 ;5,7
Professionsbachelor, sygeplejerske, Aarhus N, Studiestart: sommer- og vinterstart; 282 ; 50 ; 1.446 ; 606 ; 9,1 ;8,2
Professionsbachelor, sygeplejerske, Silkeborg, Studiestart: sommer- og vinterstart; 90 ; 17 ; 753 ; 111 ; 7,2 ;6,0
Professionsbachelor, sygeplejerske, Horsens, Studiestart: sommer- og vinterstart; 88 ; 30 ; 595 ; 78 ; 6,3 ;4,6
Professionsbachelor, sygeplejerske, Viborg, Studiestart: sommer- og vinterstart; 103 ; 12 ; 673 ; 158 ; 6,8 ;6,4
Professionsbachelor, sygeplejerske, Viborg, E-læring, Studiestart: sommerstart; 20 ; 4 ; 171 ; 43 ; 7,2 ;7,0
Professionsbachelor, sygeplejerske, Randers C, Studiestart: sommer- og vinterstart; 91 ; 18 ; 658 ; 134 ; 7,5 ;6,3
Professionsbachelor i tekstildesign, -håndværk og formidling, Herning, Studiestart: sommerstart; 13 ;; 52 ; 18 ; 100 % kvote 2 ;
Designteknolog, Herning, Studiestart: sommer- og vinterstart; 216 ; 4 ; 477 ; 301 ; 100 % kvote 2 ;
AP Graduate in Design, Technology and Business, Herning, Study start: Summer start; 131 ;; 291 ; 198 ; 100 % kvote 2 ;
Markedsføringsøkonom, Horsens, Studiestart: sommerstart; 39 ;; 111 ; 32 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Horsens, Study start: Summer start; 146 ;; 475 ; 248 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Horsens, Studiestart: sommer- og vinterstart; 10 ;; 24 ; 12 ; Alle optaget, ledige pladser ;
Professionshøjskolen VIA University College i alt; 5.829 ; 621 ; 21.451 ; 8.826 ;;
Professionshøjskolen University College Nordjylland;;;;;;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Aalborg SV, Studiestart: sommer- og vinterstart; 104 ;; 165 ; 108 ; Alle optaget, ledige pladser ;
Bachelor of Architectural Technology and Construction Management, Aalborg SV, Study start: Summer start; 17 ;; 85 ; 18 ; Alle optaget, ledige pladser ;
Bachelor of Export and Technology Management, Aalborg, Study start: Summer start; 41 ;; 113 ; 41 ; Alle optaget, ledige pladser ;
Professionsbachelor, ergoterapeut, Aalborg Øst, Studiestart: sommer- og vinterstart; 84 ; 15 ; 381 ; 114 ; 7,0 ;6,2
Professionsbachelor i finans, Aalborg, Studiestart: sommerstart; 140 ; 4 ; 307 ; 136 ; 4,0 ;Alle optaget, ledige pladser
Professionsbachelor, folkeskolelærer, Aalborg SØ, Studiestart: sommerstart; 258 ;; 582 ; 296 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Hjørring, Studiestart: sommerstart; 51 ;; 175 ; 57 ; Alle optaget, ledige pladser ;
Professionsbachelor, folkeskolelærer, Hjørring, Studiestart: vinterstart; 6 ;; 58 ; 8 ; Alle optaget, ledige pladser ;
Professionsbachelor, fysioterapeut, Aalborg Øst, Studiestart: sommer- og vinterstart; 150 ; 30 ; 903 ; 320 ; 8,4 ;7,7
Professionsbachelor, jordemoder, Aalborg Øst, Studiestart: sommer- og vinterstart; 64 ; 10 ; 534 ; 220 ; 10,7 ;10,4
Professionsbachelor i natur- og kulturformidling, Hjørring, Studiestart: sommerstart; 24 ;; 51 ; 21 ; Alle optaget, ledige pladser ;
Bachelor of Natural and Cultural Heritage Management, Hjørring, Study start: Summer start; 25 ;; 76 ; 24 ; Alle optaget, ledige pladser ;
Professionsbachelor i offentlig administration, Aalborg, Studiestart: sommerstart; 69 ;; 148 ; 54 ; Alle optaget, ledige pladser ;
Professionsbachelor, pædagog, Aalborg SØ, Studiestart: sommer- og vinterstart; 299 ; 56 ; 1.097 ; 566 ; 5,9 ;5,0
Professionsbachelor, pædagog, Hjørring, Studiestart: sommer- og vinterstart; 124 ; 20 ; 473 ; 167 ; 5,2 ;4,1
Professionsbachelor, radiograf, Aalborg Øst, Studiestart: sommer- og vinterstart; 54 ; 10 ; 274 ; 103 ; 7,9 ;6,3
Professionsbachelor, sygeplejerske, Aalborg Øst, Studiestart: sommer- og vinterstart; 192 ; 30 ; 902 ; 320 ; 8,0 ;6,1
Professionsbachelor, sygeplejerske, Hjørring, Studiestart: sommer- og vinterstart; 131 ; 20 ; 437 ; 117 ; 6,3 ;5,2
Automationsteknolog, Aalborg SV, Studiestart: sommerstart; 15 ;; 27 ; 16 ; Alle optaget, ledige pladser ;
