Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
Religionsvidenskab, København K, Studiestart: sommerstart; 64 ; 8 ; 375 ; 109 ; 8,2 ;7,4
Retorik, København K, Studiestart: sommerstart; 38 ; 5 ; 324 ; 106 ; 10,3 ;9,5
Øst- og sydøsteuropastudier (russisk), København K, Studiestart: sommerstart; 32 ; 3 ; 84 ; 40 ; 4,5 ;Alle optaget, ledige pladser
Spansk sprog og kultur, København K, Studiestart: sommerstart; 57 ; 12 ; 213 ; 86 ; 6,7 ;4,5
Lingvistik, København K, Studiestart: sommerstart; 32 ; 4 ; 165 ; 47 ; 9,5 ;8,1
Teater- og performancestudier, København K, Studiestart: sommerstart; 33 ; 4 ; 179 ; 90 ; 9,4 ;9,0
Tysk sprog og kultur, København K, Studiestart: sommerstart; 50 ;; 115 ; 46 ; Alle optaget ;Alle optaget, ledige pladser
Informationsvidenskab og kulturformidling, København K, Studiestart: sommerstart; 172 ;; 444 ; 110 ; Alle optaget, ledige pladser ;
Jura, København K, Studiestart: sommerstart; 780 ; 55 ; 2.504 ; 1.358 ; 9,6 ;9,4
Samfundsfag, København K, Studiestart: sommerstart; 44 ; 6 ; 334 ; 62 ; 10,0 ;9,6
Statskundskab, København K, Studiestart: sommerstart; 264 ; 27 ; 972 ; 470 ; 10,9 ;10,7
Økonomi, København K, Studiestart: sommerstart; 330 ; 25 ; 916 ; 387 ; 8,1 ;7,6
Sociologi, København K, Studiestart: sommerstart; 130 ; 22 ; 680 ; 216 ; 10,4 ;9,9
Antropologi, København K, Studiestart: sommerstart; 102 ; 12 ; 748 ; 293 ; 11,1 ;10,8
Teologi, København K, Studiestart: sommerstart; 137 ; 1 ; 269 ; 142 ; 2,9 ;Alle optaget, ledige pladser
Københavns Universitet i alt; 7.293 ; 585 ; 28.244 ; 12.265 ;;
Copenhagen Business School - Handelshøjskolen;;;;;;
Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart; 630 ; 70 ; 2.389 ; 1.008 ; 9,3 ;8,8
Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart; 100 ; 10 ; 546 ; 133 ; 8,4 ;8,3
Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart; 200 ; 15 ; 1.134 ; 272 ; 9,0 ;8,7
Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart; 95 ;; 369 ; 95 ; 8,6 ;
Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart; 70 ; 5 ; 318 ; 64 ; 8,7 ;8,4
Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart; 150 ; 10 ; 824 ; 237 ; 9,6 ;9,3
Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart; 150 ; 10 ; 850 ; 299 ; 9,8 ;9,6
Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart; 85 ; 5 ; 854 ; 358 ; 11,7 ;11,4
Europæisk business, Frederiksberg, Studiestart: sommerstart; 100 ; 10 ; 464 ; 120 ; 9,3 ;8,2
Business, Language and Culture (SPRØK), Frederiksberg, Study start: Summer start; 155 ;; 661 ; 262 ; 9,1 ;
International Business, Frederiksberg, Study start: Summer start; 175 ;; 1.311 ; 795 ; 12,2 ;
International Business and Politics, Frederiksberg, Study start: Summer start; 137 ;; 918 ; 321 ; 11,8 ;
Business Administration and Sociology, Frederiksberg, Study start: Summer start; 66 ;; 641 ; 161 ; 10,8 ;
Business Administration and Service Management, Frederiksberg, Study start: Summer start; 195 ;; 898 ; 246 ; 9,3 ;
Asian Studies Programme, Chinese/English, Frederiksberg, Study start: Summer start; 69 ;; 183 ; 84 ; 9,1 ;
Engelsk og organisationskommunikation , Frederiksberg, Studiestart: sommerstart; 110 ; 10 ; 528 ; 141 ; 8,5 ;7,9
Interkulturel markedskommunikation, Frederiksberg, Studiestart: sommerstart; 140 ; 10 ; 670 ; 290 ; 10,1 ;9,2
Information Management, Frederiksberg, Study start: Summer start; 58 ;; 501 ; 95 ; 8,5 ;
International Shipping and Trade, Frederiksberg, Study start: Summer start; 52 ;; 422 ; 124 ; 10,8 ;
Copenhagen Business School - Handelshøjskolen i alt; 2.737 ; 155 ; 14.481 ; 5.105 ;;
IT-Universitetet i København;;;;;;
Digitale medier og design, København S, Studiestart: sommerstart; 72 ;; 346 ; 146 ; 9,1 ;
Softwareudvikling, København S, Studiestart: sommerstart; 157 ;; 440 ; 232 ; 7,3 ;
Global Business Informatics, København S, Study start: Summer start; 77 ;; 416 ; 131 ; 8,0 ;
IT-Universitetet i København i alt; 306 ;; 1.202 ; 509 ;;
Danmarks Tekniske Universitet;;;;;;
Teknisk videnskab (civilingeniør) Bioteknologi, Kongens Lyngby, Studiestart: sommerstart; 69 ; 6 ; 261 ; 92 ; 9,2 ;8,1
