Art and Technology, Aalborg, Study start: Summer start;43;;142;52; Alle optaget, ledige pladser ;
Interaktionsdesign, Aalborg, Studiestart: sommerstart;52;;132;46; Alle optaget, ledige pladser ;
Anvendt filosofi, Aalborg, Studiestart: sommerstart;69;;171;55; Alle optaget, ledige pladser ;
Dansk, Aalborg, Studiestart: sommerstart;56;;154;48; Alle optaget, ledige pladser ;
Kommunikation og digitale medier, Aalborg, Studiestart: sommerstart;107;7;419;143;6,9;6,2
Musik, Aalborg, Studiestart: sommerstart;32;;55;33; Alle optaget, ledige pladser ;
Musikterapi, Aalborg, Studiestart: sommerstart;15;;50;23; Alle optaget, ledige pladser ;
Psykologi, Aalborg, Studiestart: sommerstart;165;9;1.118;311;10,4;10,4
Kommunikation og digitale medier, København SV, Studiestart: sommerstart;66;6;554;140;9,2;9,1
Engelsk, Aalborg, Studiestart: sommerstart;90;4;286;81;3,2;Alle optaget
Language and International Studies, English, Aalborg, Study start: Summer start;117;3;477;172;5,1;Alle optaget, ledige pladser
Spansk sprog og internationale studier, Aalborg, Studiestart: sommerstart;25;;62;21; Alle optaget, ledige pladser ;
Tysk, Aalborg, Studiestart: sommerstart;11;;32;13; Alle optaget, ledige pladser ;
International virksomhedskommunikation i engelsk, Aalborg, Studiestart: sommerstart;111;;340;89; Alle optaget, ledige pladser ;
International virksomhedskommunikation i spansk, Aalborg, Studiestart: sommerstart;13;;48;14; Alle optaget, ledige pladser ;
International virksomhedskommunikation i tysk, Aalborg, Studiestart: sommerstart;15;;39;14; Alle optaget, ledige pladser ;
Politik og Administration, Aalborg, Studiestart: sommerstart;92;;232;80; Alle optaget, ledige pladser ;
Samfundsfag, Aalborg, Studiestart: sommerstart;49;;170;34; Alle optaget, ledige pladser ;
Historie, Aalborg, Studiestart: sommerstart;69;;278;57; Alle optaget, ledige pladser ;
Sociologi, Aalborg, Studiestart: sommerstart;202;;492;132; Alle optaget ;
Økonomi, Aalborg, Studiestart: sommerstart;34;;103;31; Alle optaget, ledige pladser ;
Jura, Aalborg, Studiestart: sommerstart;131;7;952;294;9,4;9,2
Organisatorisk læring, Aalborg, Studiestart: sommerstart;25;;80;22; Alle optaget, ledige pladser ;
Erhvervsøkonomi, HA, Aalborg, Studiestart: sommerstart;384;;764;343;3;Alle optaget
Economics and Business Administration, Aalborg, Study start: Summer start;152;;531;199; Alle optaget ;
Erhvervsøkonomi-jura, HA (jur.), Aalborg, Studiestart: sommerstart;132;8;488;106;6,1;5,8
Professionsbachelor, socialrådgiver, Aalborg, Studiestart: sommerstart;205;12;712;304;6,6;5,8
Teknisk videnskab (civilingeniør) Bygge- og anlægskonstruktion, Esbjerg, Studiestart: sommerstart;3;;11;3; Alle optaget, ledige pladser ;
Bachelor of Science (BSc) in Engineering (Electronics and Computer Engineering), Esbjerg, Study start: Summer start;24;;143;59; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Energi, Esbjerg, Studiestart: sommerstart;12;;28;14; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Maskinkonstruktion, Esbjerg, Studiestart: sommerstart;6;;12;7; Alle optaget, ledige pladser ;
Bachelor of Science (BSc) in Engineering (Chemical Engineering and Biotechnology), Esbjerg, Study start: Summer start;19;;126;47; Alle optaget, ledige pladser ;
Diplomingeniør, kemi- og bioteknologi, Esbjerg, Studiestart: sommerstart;17;;49;15; Alle optaget, ledige pladser ;
Diplomingeniør, byggeri og anlæg, Esbjerg, Studiestart: sommerstart;25;;48;25; Alle optaget, ledige pladser ;
Diplomingeniør, elektronik, Esbjerg, Studiestart: sommerstart;3;;15;4; Alle optaget, ledige pladser ;
Diplomingeniør, maskinteknik, Esbjerg, Studiestart: sommerstart;18;;31;18; Alle optaget, ledige pladser ;
