aau_name;kilde;artikel_id;url;UDD5;UDD5tx;Titel;Educational_Category;displaydocclass;kaldenavn;instpostdistriktconcat;instbelkomconcat;hovedinst;hovedinsttx;instpostnr;instpostdistrikt;instkommunetx;instkommune;insttx;inst;timetal_WithFewStudents;timetal_WithManyStudents;timetal_PerStudent;timetal_statusaar;uddaktivitet_undervisning_pct;uddaktivitet_praktik_pct;uddaktivitet_opgaver_pct;uddaktivitet_udlandsophold_pct;uddaktivitet_statusaar;forskerdaekning_VipLessons_pct;forskerdaekning_DVipLessons_pct;forskerdaekning_OtherLessons_pct;forskerdaekning_statusaar;maanedloenp25_nyudd;maanedloen_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_n;maanedloen_nyudd_statusaar;ledighed_nyudd;ledighed_nyudd_statusaar;ledighed_nyudd_n;studietid;studietidtx;studietid_n;studietid_statusaar;afbrud;afbrud_statusaar;afbrud_n;branchetxt1;branchetxt2;branchetxt3;branchetxt4;branchepct1;branchepct2;branchepct3;branchepct4;offt_privat;branche_statusaar;branche_n;maanedloenp25_10aar;maanedloen_10aar;maanedloenp75_10aar;maanedloen_10aar_n;maanedloen_10aar_statusaar;ledighed_10aar;ledighed_10aar_statusaar;ledighed_10aar_n;ivaerksaetteri;ivaerksaetteri_statusaar;ivaerksaetteri_n;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdsform_faste_aften_nat_pct;arbejdsform_fastedagtimer_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_n;arbejdsform_statusaar;arbejdstid_timer;arbejdstid_n;arbejdstid_statusaar;dimbesvarelser_antal;dimbesvarelser_pct;fagligmiljo_likert;fagligmiljo_n;fagligmiljo_statusaar;fagligtmotivation_likert;fagligtmotivation_n;fagligtmotivation_statusaar;foerstejob1pct;foerstejob2pct;foerstejob3pct;foerstejob4pct;foerstejob1tx;foerstejob2tx;foerstejob3tx;foerstejob4tx;foerstejob_n;foerstejob_statusaar;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;jobskabende_n;jobskabende_statusaar;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;kompetencerudd_n;kompetencerudd_statusaar;kvalitet_likert;kvalitet_n;kvalitet_statusaar;medstuderende_likert;medstuderende_n;medstuderende_statusaar;relevans_overens_udd_job_likert;relevans_overens_udd_job_n;rel_over_udd_job_statusaar;ruster_til_job_likert;ruster_til_job_n;ruster_til_job_statusaar;socialtmiljo_likert;socialtmiljo_n;socialtmiljo_statusaar;socialtmotivation_likert;socialtmotivation_n;socialtmotivation_statusaar;studbesvarelser_antal;studbesvarelser_pct;tidsforbrug_frivilligtxt;tidsforbrug_selvstudiumtxt;tidsforbrug_studiejobtxt;tidsforbrug_undervisningtxt;tidsforbrug_n;tidsforbrug_statusaar;udbytte_undervisning_likert;udbytte_undervisning_n;udb_undervisning_statusaar;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;udlandet_n;udlandet_statusaar;undervisere_engagerede_likert;undervisere_engagerede_n;und_engagerede_statusaar;undervisere_faglighed_likert;undervisere_faglighed_n;und_faglighed_statusaar;undervisere_feedback_likert;undervisere_feedback_n;und_feedback_statusaar;undervisere_formidling_likert;undervisere_formidling_n;und_formidling_statusaar;undervisere_kontakt_likert;undervisere_kontakt_n;und_kontakt_statusaar;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;undervisningsform_n;undervisningsform_statusaar
Datalogi;bach_nat;udb2-natviddatalogi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi;81350,3342;Datalogi,bach.;Datalogi;Universitetsuddannelser;Bacheloruddannelse;Computer Science,Datalogi (it);Aalborg,København K,Roskilde,Odense M,Aarhus C,København K;851,101,265,461,751,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;0;156;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;90,36;5,96;3,68;E2015/F2016;;;;;Ingen data;;Ingen data;;3;3 år og 0 måneder;93;2013-2015;27;2013-2015;175;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,19;37;2016/2017;3,75;36;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,38;32;2016/2017;3,33;36;2016/2017;;;Ingen data;;;Ingen data;3,78;36;2016/2017;4,08;37;2016/2017;47;29;1;27;2;36;32;2016/2017;3,97;36;2016/2017;;;;;Ingen data;4,19;37;2016/2017;4,32;37;2016/2017;3,57;35;2016/2017;3,7;37;2016/2017;3,82;33;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;36;2016/2017
Byggeri og anlæg, diplomingeniør;PB;udb2-dipbygning;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Bygning,ing.prof.bach.;Diplomingeniør - bygning;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Byggeri og anlæg,Byggeri og infrastruktur,Bygningsteknik;Horsens,Kgs. Lyngby,Aarhus C,Odense M,Aarhus C,Odense M,Esbjerg,Aalborg,Kgs. Lyngby;615,173,751,461,751,461,561,851,173;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;60,67;95,33;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;29.600;32.200;35.900;46;2013-2015;5;2013-2016;40;3;2 år og 7 måneder;68;2013-2015;21;2013-2015;141;Videnservice;Industri;Offentlig administration forsvar og politi;Øvrige brancher;36;19;10;35;74;2012-2014;922;37.400;44.300;49.300;64;2013-2015;0;2013-2016;61;3;2011-2013;95;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Byggeri og anlæg, diplomingeniør, Esbjerg;PB;udb2-dipbygning;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Bygning,ing.prof.bach.;Diplomingeniør - bygning;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Byggeri og anlæg,Byggeri og infrastruktur,Bygningsteknik;Horsens,Kgs. Lyngby,Aarhus C,Odense M,Aarhus C,Odense M,Esbjerg,Aalborg,Kgs. Lyngby;615,173,751,461,751,461,561,851,173;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;112,67;43,33;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;29.600;32.200;35.900;46;2013-2015;5;2013-2016;40;3;2 år og 7 måneder;68;2013-2015;21;2013-2015;141;Videnservice;Industri;Offentlig administration forsvar og politi;Øvrige brancher;36;19;10;35;74;2012-2014;922;37.400;44.300;49.300;64;2013-2015;0;2013-2016;61;3;2011-2013;95;0;0;0;20;53;0;27;15;2016/2017;40;15;2016/2017;17;40;;;Ingen data;;;Ingen data;67;20;7;7;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Jeg søgte og blev ansat efter et stillingsopslag;Jeg blev headhuntet;Jeg fik job gennem mit netværk;15;2016/2017;De kompetencer jeg fik fra uddannelsen;Praktik;Jeg har den uddannelse som er en forudsætning for jobbet;Netværk;Projekt i samarbejde med offentlig eller privat virksomhed;11;2016/2017;Evnen til at samarbejde;Min evne til at arbejde struktureret og overholde deadlines;Omsætte teori til praktisk;Tekniske kompetencer;Tilegnelse af ny viden;11;2016/2017;;;Ingen data;;;Ingen data;3,73;15;2016/2017;3,93;15;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;13;87;0;15;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Bæredygtig energiteknik;PB;udb2-dipbaeredygtigenergi;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-baeredygtig-energiteknik;53470;Bæredygtig energiteknik,ing.prof.bach.;Diplomingeniør - bæredygtig energiteknik;Professionsbacheloruddannelser;Professionsbacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;43,33;112,67;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;;;;;Ingen data;;Ingen data;;2;1 år og 11 måneder;15;2013-2015;20;2013-2015;55;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,89;18;2016/2017;3,61;18;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,83;18;2016/2017;3,72;18;2016/2017;;;Ingen data;;;Ingen data;3,72;18;2016/2017;3,83;18;2016/2017;21;37;1;26;2;32;18;2016/2017;3,76;17;2016/2017;;;;;Ingen data;4,06;18;2016/2017;4,5;18;2016/2017;3,39;18;2016/2017;3,22;18;2016/2017;3,72;18;2016/2017;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;18;2016/2017
Eksportteknologi, diplomingeniør;PB;udb2-dipeksportteknologi;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-eksportteknologi;53360,5256;Produktion,ing.prof.bach.;Diplomingeniør - eksportteknologi;Professionsbacheloruddannelser;Professionsbacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;8,67;147,33;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;27.700;32.700;38.600;16;2013-2015;4;2013-2016;13;2;1 år og 8 måneder;17;2013-2015;36;2013-2015;92;Industri;Videnservice;Handel;Øvrige brancher;56;24;7;13;93;2012-2014;284;36.900;42.900;49.500;38;2013-2015;0;2013-2016;22;4;2011-2013;28;;;;;;;;;Ingen data;;;Ingen data;;;4,04;27;2016/2017;3,96;27;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,19;26;2016/2017;3,63;27;2016/2017;;;Ingen data;;;Ingen data;4,22;27;2016/2017;4,26;27;2016/2017;33;36;1;28;7;23;26;2016/2017;3,74;27;2016/2017;;;;;Ingen data;4;27;2016/2017;4,37;27;2016/2017;3,52;27;2016/2017;3,59;27;2016/2017;3,88;26;2016/2017;Gruppearbejde;Forelæsninger;Projektarbejde;Selvstudie;Faglig vejledning fra din underviser;27;2016/2017
Elektronik, Diplomingeniør;PB;udb2-dipdatateknikogit;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-elektronik;53380,53370,53440,52570;;Diplomingeniør - elektronik;Professionsbacheloruddannelser;Professionsbacheloruddannelse;;Aalborg,Esbjerg,Aarhus C,Herning,Aarhus C;851,561,751,657,751;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;26;112,67;29,5;E2015/F2016;73,81;14,29;11,9;0;E2015/F2016;;;;E2015/F2016;30.900;32.500;35.700;16;2013-2015;20;2013-2016;17;2;2 år og 2 måneder;22;2013-2015;24;2013-2015;59;Industri;Videnservice;Information og kommunikation;Øvrige brancher;29;24;13;33;87;2012-2014;282;34.400;39.400;46.500;31;2013-2015;0;2013-2016;22;6;2011-2013;17;;;;;;;;;Ingen data;;;Ingen data;;;4,07;15;2016/2017;4;15;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4;14;2016/2017;3,93;14;2016/2017;;;Ingen data;;;Ingen data;3,67;15;2016/2017;3,93;15;2016/2017;16;41;1;23;6;29;14;2016/2017;3,85;13;2016/2017;;;;;Ingen data;3,86;14;2016/2017;4,5;14;2016/2017;3,77;13;2016/2017;3,5;14;2016/2017;4,29;14;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;15;2016/2017
Elektronik, Diplomingeniør;PB;udb2-dipdatateknikogit;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-elektronik;53380,53370,53440,52570;;Diplomingeniør - elektronik;Professionsbacheloruddannelser;Professionsbacheloruddannelse;;Aalborg,Esbjerg,Aarhus C,Herning,Aarhus C;851,561,751,657,751;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;34,67;104;30,33;E2015/F2016;73,81;14,29;11,9;0;E2015/F2016;;;;E2015/F2016;30.900;32.500;35.700;16;2013-2015;20;2013-2016;17;2;2 år og 2 måneder;22;2013-2015;24;2013-2015;59;Industri;Videnservice;Information og kommunikation;Øvrige brancher;29;24;13;33;87;2012-2014;282;34.400;39.400;46.500;31;2013-2015;0;2013-2016;22;6;2011-2013;17;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Kemi og bioteknologi, diplomingeniør;PB;udb2-dipkemi;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-kemi;53390,52790,52750,52700;Kemi,ing.prof.bach.;Diplomingeniør - kemi;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Kemi- og bioteknologi;Kgs. Lyngby,Aalborg,Esbjerg,Aarhus C,Odense M,Aarhus C,Odense M,Kgs. Lyngby;173,851,561,751,461,751,461,173;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;121,33;52;26,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;27.700;30.500;35.500;24;2013-2015;3;2013-2016;16;2;2 år og 4 måneder;23;2013-2015;25;2013-2015;80;Industri;Videnservice;Offentlig administration forsvar og politi;Øvrige brancher;31;31;17;22;73;2012-2014;272;33.800;40.700;45.900;34;2013-2015;0;2013-2016;20;0;2011-2013;20;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Kemi og bioteknologi, diplomingeniør;PB;udb2-dipkemi;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-kemi;53390,52790,52750,52700;Kemi,ing.prof.bach.;Diplomingeniør - kemi;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Kemi- og bioteknologi;Kgs. Lyngby,Aalborg,Esbjerg,Aarhus C,Odense M,Aarhus C,Odense M,Kgs. Lyngby;173,851,561,751,461,751,461,173;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;95,33;60,67;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;27.700;30.500;35.500;24;2013-2015;3;2013-2016;16;2;2 år og 4 måneder;23;2013-2015;25;2013-2015;80;Industri;Videnservice;Offentlig administration forsvar og politi;Øvrige brancher;31;31;17;22;73;2012-2014;272;33.800;40.700;45.900;34;2013-2015;0;2013-2016;20;0;2011-2013;20;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Maskinteknik, diplomingeniør;PB;udb2-dipmaskin;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-maskinteknik;53330,52770,52760,53320;Maskin,ing.prof.bach.;Diplomingeniør - maskinteknik;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Maskinteknologi;Horsens,Kgs. Lyngby,Aalborg,Esbjerg,Aarhus C,Odense M,Kgs. Lyngby,Odense M,Aarhus C;615,173,851,561,751,461,173,461,751;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;17,33;138,67;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;;;;;Ingen data;;Ingen data;;;;;Ingen data;9;2013-2015;79;Industri;Videnservice;Handel;Øvrige brancher;39;22;13;26;90;2012-2014;207;;;;;Ingen data;;Ingen data;;8;2011-2013;48;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Maskinteknik, diplomingeniør;PB;udb2-dipmaskin;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-maskinteknik;53330,52770,52760,53320;Maskin,ing.prof.bach.;Diplomingeniør - maskinteknik;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Maskinteknologi;Horsens,Kgs. Lyngby,Aalborg,Esbjerg,Aarhus C,Odense M,Kgs. Lyngby,Odense M,Aarhus C;615,173,851,561,751,461,173,461,751;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;130;26;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;;;;;Ingen data;;Ingen data;;;;;Ingen data;9;2013-2015;79;Industri;Videnservice;Handel;Øvrige brancher;39;22;13;26;90;2012-2014;207;;;;;Ingen data;;Ingen data;;8;2011-2013;48;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Electronics and Computer Engineering;bach_tek;udb2-civelektronikogdatateknik;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektronik-og-datateknik;79370,7907;Elektronik og IT,ing.bach.;Elektronik og datateknik;Universitetsuddannelser;Bacheloruddannelse;Electronic and Computer Engineering;Esbjerg;561;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;95,33;60,67;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;91,76;8,24;0;E2015/F2016;;;;;Ingen data;;Ingen data;;;;;Ingen data;14;2013-2015;44;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,76;17;2016/2017;3,13;16;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,88;17;2016/2017;3,24;17;2016/2017;;;Ingen data;;;Ingen data;3,76;17;2016/2017;4,18;17;2016/2017;20;49;0;28;4;29;17;2016/2017;4,06;17;2016/2017;;;;;Ingen data;4,06;17;2016/2017;4,29;17;2016/2017;3,88;17;2016/2017;3,59;17;2016/2017;4,06;17;2016/2017;Projektarbejde;Gruppearbejde;Selvstudie;Forelæsninger;Klasseundervisning;16;2016/2017
Elektronik og it;bach_tek;udb2-civelektronikoginfoteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektronik-og-it;79370,79080,81670;Elektronik og IT,ing.bach.;Elektronik og it;Universitetsuddannelser;Bacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;26;121,33;29,5;E2015/F2016;88,89;0;11,11;0;E2015/F2016;90,47;7,15;2,38;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 7 måneder;32;2013-2015;14;2013-2015;140;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,03;36;2016/2017;3,92;36;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,53;36;2016/2017;3,95;37;2016/2017;;;Ingen data;;;Ingen data;4,11;37;2016/2017;4,46;37;2016/2017;41;38;1;24;3;31;36;2016/2017;4,33;36;2016/2017;;;;;Ingen data;4,51;37;2016/2017;4,57;37;2016/2017;3,94;36;2016/2017;3,81;37;2016/2017;4,32;37;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;37;2016/2017
Energi;bach_tek;udb2-civenergi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi;79270,793;Energi,ing.bach.;Energi;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,Esbjerg;851,561;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;26;130;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;94,83;4,12;1,05;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;677;2013-2015;32;2013-2015;516;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,31;32;2016/2017;4,09;32;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,31;29;2016/2017;3,93;30;2016/2017;;;Ingen data;;;Ingen data;4,13;32;2016/2017;4,22;32;2016/2017;42;31;0;24;5;41;29;2016/2017;4;30;2016/2017;;;;;Ingen data;4,27;30;2016/2017;4,6;30;2016/2017;3,71;28;2016/2017;3,8;30;2016/2017;4,14;29;2016/2017;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;26;2016/2017
Energi;bach_tek;udb2-civenergi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi;79270,793;Energi,ing.bach.;Energi;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,Esbjerg;851,561;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;69,33;86,67;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;93,6;5,35;1,05;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;677;2013-2015;32;2013-2015;516;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,9;21;2016/2017;3,76;21;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,25;20;2016/2017;4;20;2016/2017;;;Ingen data;;;Ingen data;3,95;21;2016/2017;4,1;21;2016/2017;24;39;1;25;9;33;20;2016/2017;4;20;2016/2017;;;;;Ingen data;4,3;20;2016/2017;4,25;20;2016/2017;3,85;20;2016/2017;3,75;20;2016/2017;4,15;20;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Klasseundervisning;Selvstudie;19;2016/2017
Engelsk;bach_hum;udb2-humengelsk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/sprog/engelsk;65120;Engelsk,bach.;Engelsk;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,København K,Odense M,Aarhus C,København K;851,101,461,751,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;16,33;70,67;10;E2015/F2016;91,67;0;8,33;0;E2015/F2016;92,85;6,18;0,98;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 11 måneder;196;2013-2015;29;2013-2015;277;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,88;49;2016/2017;3,48;48;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,93;44;2016/2017;3,46;48;2016/2017;;;Ingen data;;;Ingen data;3,8;50;2016/2017;4,08;50;2016/2017;56;25;5;35;6;27;44;2016/2017;3,85;48;2016/2017;;;;;Ingen data;4,55;49;2016/2017;4,59;49;2016/2017;3,63;48;2016/2017;4,06;49;2016/2017;3,81;47;2016/2017;Selvstudie;Forelæsninger;Projektarbejde;Gruppearbejde;Klasseundervisning;44;2016/2017
Engelsk;bach_hum;udb2-humengelsksis;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/engelsk-sprog-og-internationale-studier-sis;65120,60180,66180;Engelsk,bach.;Engelsk sprog og internationale studier (SIS);Universitetsuddannelser;Bacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;8,91;77,45;16,82;E2015/F2016;83,33;0;8,33;8,33;E2015/F2016;95,4;3,74;0,86;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 11 måneder;262;2013-2015;19;2013-2015;503;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,94;112;2016/2017;3,61;110;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,81;99;2016/2017;3,45;110;2016/2017;;;Ingen data;;;Ingen data;3,83;113;2016/2017;4,04;113;2016/2017;131;29;4;32;7;23;98;2016/2017;3,95;111;2016/2017;;;;;Ingen data;4,38;112;2016/2017;4,33;112;2016/2017;3,62;110;2016/2017;3,78;112;2016/2017;4;107;2016/2017;Selvstudie;Forelæsninger;Projektarbejde;Klasseundervisning;Gruppearbejde;100;2016/2017
