aau;kotNo;KotName;intake;standby;applicants;1. prio;grade;
Language and International Studies;25455;Language and International Studies, English, Aalborg, Study start: Summer start;117;3;477;172;5,1;Alle optaget, ledige pladser
Matematik;25314;Matematik, Aalborg, Studiestart: sommerstart;32;;87;33; Alle optaget, ledige pladser ;
Matematik-õkonomi;25319;Matematik-õkonomi, Aalborg, Studiestart: sommerstart;28;;83;26; Alle optaget, ledige pladser ;
Medialogy, Kõbenhavn SV;25315;Medialogy, Kõbenhavn SV, Study start: Summer start;112;9;356;136;6;4,8
Medialogy, Aalborg;25317;Medialogy, Aalborg, Study start: Summer start;111;;261;129;3,5;Alle optaget, ledige pladser
Medicin med industriel specialisering;25330;Medicin med industriel specialisering, Aalborg, Studiestart: sommerstart;143;8;364;116;6,9;5,4
Medicin (lëgeuddannelsen);25320;Medicin, Aalborg, Studiestart: sommerstart;110;12;1.676;274;10,8;10,6
Musik;25425;Musik, Aalborg, Studiestart: sommerstart;32;;55;33; Alle optaget, ledige pladser ;
Musikterapi;25430;Musikterapi, Aalborg, Studiestart: sommerstart;15;;50;23; Alle optaget, ledige pladser ;
Organisatorisk lëring;25640;Organisatorisk lëring, Aalborg, Studiestart: sommerstart;25;;80;22; Alle optaget, ledige pladser ;
Politik & Administration;25610;Politik og Administration, Aalborg, Studiestart: sommerstart;92;;232;80; Alle optaget, ledige pladser ;
SocialrÜdgiver;25810;Professionsbachelor, socialrÜdgiver, Aalborg, Studiestart: sommerstart;205;12;712;304;6,6;5,8
Psykologi;25435;Psykologi, Aalborg, Studiestart: sommerstart;165;9;1.118;311;10,4;10,4
Samfundsfag;25612;Samfundsfag, Aalborg, Studiestart: sommerstart;49;;170;34; Alle optaget, ledige pladser ;
Sociologi;25620;Sociologi, Aalborg, Studiestart: sommerstart;202;;492;132; Alle optaget ;
Spansk, Sprog og Internationale studier;25460;Spansk sprog og internationale studier, Aalborg, Studiestart: sommerstart;25;;62;21; Alle optaget, ledige pladser ;
Arkitektur og Design;25015;Teknisk videnskab (civilingeniõr) Arkitektur og design, Aalborg, Studiestart: sommerstart;110;;229;115; Alle optaget, ledige pladser ;
Bioteknologi;25017;Teknisk videnskab (civilingeniõr) Bioteknologi, Aalborg, Studiestart: sommerstart;40;;103;32; Alle optaget, ledige pladser ;
By-, energi- og miljõplanlëgning, Kõbenhavn SV;25070;Teknisk videnskab (civilingeniõr) By-, energi- og miljõplanlëgning, Kõbenhavn SV, Studiestart: sommerstart;42;;101;36; Alle optaget, ledige pladser ;
By-, energi- og miljõplanlëgning, Aalborg;25055;Teknisk videnskab (civilingeniõr) By-, energi- og miljõplanlëgning, Aalborg, Studiestart: sommerstart;17;;73;20; Alle optaget, ledige pladser ;
Byggeri og anlëg, Esbjerg;26511;Teknisk videnskab (civilingeniõr) Bygge- og anlëgskonstruktion, Esbjerg, Studiestart: sommerstart;3;;11;3; Alle optaget, ledige pladser ;
Byggeri og anlëg, Aalborg;25020;Teknisk videnskab (civilingeniõr) Byggeri og anlëg, Aalborg, Studiestart: sommerstart;50;;94;50; Alle optaget, ledige pladser ;
Bëredygtigt Design;25078;Teknisk videnskab (civilingeniõr) Bëredygtigt design, Kõbenhavn SV, Studiestart: sommerstart;52;5;157;51;5,6;Alle optaget
Elektronik og it;25030;Teknisk videnskab (civilingeniõr) Elektronik og it, Aalborg, Studiestart: sommerstart;50;;101;49; Alle optaget, ledige pladser ;
Energi, Esbjerg;26513;Teknisk videnskab (civilingeniõr) Energi, Esbjerg, Studiestart: sommerstart;12;;28;14; Alle optaget, ledige pladser ;
Energi, Aalborg;25075;Teknisk videnskab (civilingeniõr) Energi, Aalborg, Studiestart: sommerstart;47;;102;46; Alle optaget, ledige pladser ;
Globale Forretningssystemer;25035;Teknisk videnskab (civilingeniõr) Globale forretningssystemer, Aalborg, Studiestart: sommerstart;46;;90;48; Alle optaget, ledige pladser ;
Internetteknologier og computersystemer;25025;Teknisk videnskab (civilingeniõr) Internetteknologier og computersystemer, Aalborg, Studiestart: sommerstart;12;;34;15; Alle optaget, ledige pladser ;
Kemiteknologi;25047;Teknisk videnskab (civilingeniõr) Kemiteknologi, Aalborg, Studiestart: sommerstart;26;;64;25; Alle optaget, ledige pladser ;
Maskin og Produktion;25040;Teknisk videnskab (civilingeniõr) Maskin og produktion, Aalborg, Studiestart: sommerstart;35;;69;33; Alle optaget, ledige pladser ;
-101;26514;Teknisk videnskab (civilingeniõr) Maskinkonstruktion, Esbjerg, Studiestart: sommerstart;6;;12;7; Alle optaget, ledige pladser ;
Matematik-teknologi;25318;Teknisk videnskab (civilingeniõr) Matematik-teknologi, Aalborg, Studiestart: sommerstart;15;;44;15; Alle optaget, ledige pladser ;
Miljõvidenskab;25042;Teknisk videnskab (civilingeniõr) Miljõteknologi, Aalborg, Studiestart: sommerstart;21;;47;19; Alle optaget, ledige pladser ;
Nanoteknologi, Aalborg;25050;Teknisk videnskab (civilingeniõr) Nanoteknologi, Aalborg, Studiestart: sommerstart;20;;55;20; Alle optaget, ledige pladser ;
Produkt- og designpsykologi;25335;Teknisk videnskab (civilingeniõr) Produkt- og designpsykologi, Aalborg, Studiestart: sommerstart;14;;47;15; Alle optaget, ledige pladser ;
Software;25060;Teknisk videnskab (civilingeniõr) Software, Aalborg, Studiestart: sommerstart;141;;240;139; Alle optaget, ledige pladser ;
Sundhedsteknologi;25065;Teknisk videnskab (civilingeniõr) Sundhedsteknologi, Aalborg, Studiestart: sommerstart;50;;115;38; Alle optaget, ledige pladser ;
Teknoantropologi, Kõbenhavn SV;25071;Teknoantropologi, Kõbenhavn SV, Studiestart: sommerstart;69;5;173;55;4,7;Alle optaget
Teknoantropologi, Aalborg;25100;Teknoantropologi, Aalborg, Studiestart: sommerstart;32;;90;27; Alle optaget, ledige pladser ;
Tysk;25465;Tysk, Aalborg, Studiestart: sommerstart;11;;32;13; Alle optaget, ledige pladser ;
ùkonomi;25625;ùkonomi, Aalborg, Studiestart: sommerstart;34;;103;31; Alle optaget, ledige pladser ;
