aau;kotNo;KotName;intake;standby;applicants;1. prio;grade;
3510;25405;Anvendt filosofi;48;0;151;52;alle optaget, ledige pladser;
3520;25305;Biologi;36;0;118;38;alle optaget, ledige pladser;
3530;25410;Dansk;44;0;144;35;alle optaget, ledige pladser;
3540;25306;Datalogi;53;0;134;54;alle optaget, ledige pladser;
3550;25240;Diplomingeniør, bygning;27;0;81;26;alle optaget, ledige pladser;
3560;26630;Diplomingeniør, bygning, Esbjerg;17;0;28;18;alle optaget, ledige pladser;
3570;25250;Diplomingeniør, bæredygtig energiteknik;22;0;53;22;alle optaget, ledige pladser;
3580;25220;Diplomingeniør, eksportteknologi;24;0;61;31;alle optaget, ledige pladser;
3590;25260;Diplomingeniør, elektronik;14;0;35;13;alle optaget, ledige pladser;
3600;26640;Diplomingeniør, elektronik, Esbjerg;2;0;4;3;alle optaget, ledige pladser;
3610;25230;Diplomingeniør, kemi- og bioteknologi;10;0;43;11;alle optaget, ledige pladser;
3620;26620;Diplomingeniør, kemi- og bioteknologi, Esbjerg;13;0;23;12;alle optaget, ledige pladser;
3630;25270;Diplomingeniør, maskin;17;0;59;18;alle optaget, ledige pladser;
3640;26650;Diplomingeniør, maskin, Esbjerg;29;0;46;29;alle optaget, ledige pladser;
3650;25280;Diplomingeniør, nanoteknologi;6;0;27;7;alle optaget, ledige pladser;
3660;25450;Engelsk;103;0;278;82;alle optaget;
3670;25710;Erhvervsøkonomi, HA;304;0;634;287;alle optaget, ledige pladser;
3680;25715;Erhvervsøkonomi-jura, HA (jur.);165;0;420;116;alle optaget;
3690;25307;Fysik;14;0;45;16;alle optaget, ledige pladser;
3700;25311;Geografi;21;0;62;21;alle optaget, ledige pladser;
3710;25615;Historie;94;0;280;87;alle optaget;
3720;25420;Humanistisk informatik;124;7;455;166;6,4;5,8
3730;25440;Humanistisk informatik, København SV;74;7;509;170;9;8,7
3740;25325;Idræt;197;0;536;169;alle optaget;
3750;25312;Informatik;14;0;69;14;alle optaget, ledige pladser;
3760;25340;Informationsteknologi;35;0;90;36;alle optaget, ledige pladser;
3770;25350;Interaktionsdesign;44;0;102;38;alle optaget, ledige pladser;
