aau;kotNo;KotName;intake;standby;applicants;1. prio;grade;
3780;25515;International virksomhedskommunikation;227;0;457;201;alle optaget, ledige pladser;
3790;25630;Jura;120;7;812;244;8,9;8,5
3800;25313;Kemi;8;0;33;7;alle optaget, ledige pladser;
3810;25090;Landinspektørvidenskab;26;0;50;25;alle optaget, ledige pladser;
3820;25085;Landinspektørvidenskab, København SV;22;0;39;20;alle optaget, ledige pladser;
3830;25314;Matematik;31;0;83;34;alle optaget, ledige pladser;
3840;25319;Matematik-økonomi;30;0;80;28;alle optaget, ledige pladser;
3850;25320;Medicin;60;9;1.253;163;11;10,8
3860;25330;Medicin med industriel specialisering;156;0;280;97;alle optaget;
3870;25425;Musik;36;0;72;38;alle optaget;
3880;25430;Musikterapi;20;0;48;26;alle optaget, ledige pladser;
3890;25650;Offentlig innovation og digitalisering;6;0;27;7;alle optaget, ledige pladser;
3900;25640;Organisatorisk læring;27;0;59;26;alle optaget, ledige pladser;
3910;25610;Politik og administration;78;0;191;62;alle optaget, ledige pladser;
3920;25810;Professionsbachelor, socialrådgiver;186;8;730;276;6,4;6
3930;25435;Psykologi;155;9;1.042;305;10;9,9
3940;25612;Samfundsfag;38;0;177;28;alle optaget, ledige pladser;
3950;25620;Sociologi;221;0;567;161;alle optaget;
3960;25460;Spansk sprog og internationale studier;25;0;85;23;alle optaget, ledige pladser;
3970;25015;Teknisk videnskab (civilingeniør) Arkitektur og design;155;0;266;154;alle optaget;
3980;25017;Teknisk videnskab (civilingeniør) Bioteknologi;30;0;68;29;alle optaget, ledige pladser;
3990;25055;Teknisk videnskab (civilingeniør) By-, energi- og miljøplanlægning;17;0;47;17;alle optaget, ledige pladser;
4000;25070;Teknisk videnskab (civilingeniør) By-, energi- og miljøplanlægning, København;34;0;84;32;alle optaget, ledige pladser;
4010;26511;Teknisk videnskab (civilingeniør) Bygge- og anlægskonstruktion, Esbjerg;9;0;18;9;alle optaget, ledige pladser;
4020;25020;Teknisk videnskab (civilingeniør) Byggeri og anlæg;63;0;111;64;alle optaget, ledige pladser;
4030;25078;Teknisk videnskab (civilingeniør) Bæredygtigt design, København;52;0;102;39;alle optaget;
4040;25030;Teknisk videnskab (civilingeniør) Elektronik og IT;39;0;87;40;alle optaget, ledige pladser;
4050;25075;Teknisk videnskab (civilingeniør) Energi;51;0;94;51;alle optaget, ledige pladser;
4060;26513;Teknisk videnskab (civilingeniør) Energi, Esbjerg;30;0;43;33;alle optaget, ledige pladser;
4070;25035;Teknisk videnskab (civilingeniør) Globale forretningssystemer;36;0;59;34;alle optaget, ledige pladser;
4080;25025;Teknisk videnskab (civilingeniør) Internetteknologier og computersystemer;10;0;40;8;alle optaget, ledige pladser;
4090;25047;Teknisk videnskab (civilingeniør) Kemiteknologi;22;0;51;22;alle optaget, ledige pladser;
4100;25040;Teknisk videnskab (civilingeniør) Maskin og produktion;37;0;65;40;alle optaget, ledige pladser;
4110;26514;Teknisk videnskab (civilingeniør) Maskinkonstruktion, Esbjerg;4;0;10;4;alle optaget, ledige pladser;
4120;25318;Teknisk videnskab (civilingeniør) Matematik-teknologi;20;0;49;22;alle optaget, ledige pladser;
4130;25042;Teknisk videnskab (civilingeniør) Miljøteknologi;10;0;41;10;alle optaget, ledige pladser;
4140;25050;Teknisk videnskab (civilingeniør) Nanoteknologi;15;0;47;16;alle optaget, ledige pladser;
4150;25335;Teknisk videnskab (civilingeniør) Produkt- og designpsykologi;23;0;54;21;alle optaget, ledige pladser;
4160;25060;Teknisk videnskab (civilingeniør) Software;104;0;186;102;alle optaget, ledige pladser;
4170;25065;Teknisk videnskab (civilingeniør) Sundhedsteknologi;45;0;98;44;alle optaget, ledige pladser;
4180;25100;Teknoantropologi;21;0;66;17;alle optaget, ledige pladser;
4190;25071;Teknoantropologi, København;88;0;189;60;alle optaget;
4200;25465;Tysk;12;0;45;14;alle optaget, ledige pladser;
4210;25625;Økonomi;37;0;125;40;alle optaget, ledige pladser;
4220;25345;Art and Technology;36;0;169;65;alle optaget, ledige pladser;
4230;26525;Bachelor of Science (BSc) in Engineering (Chemical Engineering and Biotechnology), Esbjerg;8;0;75;27;alle optaget, ledige pladser;
4240;26512;Bachelor of Science (BSc) in Engineering (Electronic and Computer Engineering), Esbjerg;15;0;86;37;alle optaget, ledige pladser;
4250;25095;Bachelor of Science (BSc) in Engineering (IT, Communication and New Media), København;51;0;262;77;alle optaget, ledige pladser;
4260;25082;Bachelor of Science (BSc) in Engineering (Manufacturing and Operations Engineering), København;14;0;73;22;alle optaget, ledige pladser;
4270;25033;Bachelor of Science (BSc) in Engineering (Robotics);31;0;128;39;alle optaget, ledige pladser;
4280;25712;Economics and Business Administration;44;0;318;80;alle optaget, ledige pladser;
4290;25455;Language and International Studies, English;114;0;397;137;alle optaget;
4300;25317;Medialogy;190;0;367;191;alle optaget;
4310;26520;Medialogy, Esbjerg;45;0;132;56;alle optaget;
4320;25315;Medialogy, København;104;6;551;250;7,3;7,2
4330;25072;Bachelor of Science (BSc) in Engineering (Sustainable Biotechnology), København;22;0;156;59;alle optaget, ledige pladser;
