4320;25078;Teknisk videnskab (civilingeniør) Bæredygtigt design;43;0;112;34;alle optaget;;;;;;;
4330;25071;Teknoantropologi;99;0;200;74;alle optaget;;;;;;;
4340;25315;Medialogy;248;0;499;232;alle optaget;;;;;;;
4350;25095;Teknisk videnskab (civilingeniør) IT, Communication and New Media;42;0;188;58;alle optaget, ledige pladser;;;;;;;
4360;25072;Teknisk videnskab (civilingeniør) Sustainable Biotechnology;16;0;97;32;alle optaget, ledige pladser;;;;;;;
4390;26610;Diplomingeniør;23;0;39;26;alle optaget, ledige pladser;;;;;;;
4400;26620;Diplomingeniør, kemi- og bioteknologi;13;0;24;15;alle optaget, ledige pladser;;;;;;;
4420;26511;Teknisk videnskab (civilingeniør) Bygge- og anlægskonstruktion;12;0;25;13;alle optaget, ledige pladser;;;;;;;
4430;26513;Teknisk videnskab (civilingeniør) Energi;27;0;57;32;alle optaget, ledige pladser;;;;;;;
4440;26515;Teknisk videnskab (civilingeniør) Kemi og bioteknologi;12;0;21;13;alle optaget, ledige pladser;;;;;;;
4450;26514;Teknisk videnskab (civilingeniør) Maskinkonstruktion;13;0;26;13;alle optaget, ledige pladser;;;;;;;
4460;26520;Medialogy;36;0;91;41;alle optaget, ledige pladser;;;;;;;
4470;26512;Teknisk videnskab (civilingeniør) Electronic and Computer Engineering;18;0;73;27;alle optaget, ledige pladser;;;;;;;
4410;26710;Fiskeriteknolog;7;0;9;8;ej kvotesyst., alle opt., led. pl.;;;;;;;
