aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;fagligmiljo_likert;fagligtmotivation_likert;kvalitet_likert;medstuderende_likert;socialtmiljo_likert;socialtmotivation_likert;udbytte_undervisning_likert;undervisere_engagerede_likert;undervisere_faglighed_likert;undervisere_feedback_likert;undervisere_formidling_likert;undervisere_kontakt_likert
Nanoteknologi, diplomingeniør, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/nanoteknologi;79380;Bacheloruddannelse;Aalborg;2 år og 11 måneder;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Organisatorisk læring;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/organisatorisk-laering;57690;Bacheloruddannelse;Aalborg;-101;24;29;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Klasseundervisning;3,7;3,48;3,64;3,3;3,93;3,85;3,65;4,15;4,19;3,3;3,41;4,04
Politik & Administration;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/politik-og-administration;71090,7103;Bacheloruddannelse;Aalborg;2 år og 5 måneder;19;373;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Øvelsestimer;3,65;3,67;3,89;3,49;3,97;3,88;3,76;4,14;4,37;2,68;3,59;3,72
Produkt- og designpsykologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/produkt-og-designpsykologi;80750,3121;Bacheloruddannelse;Aalborg;2 år og 10 måneder;21;72;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;4,44;4,41;3,87;3,59;3,93;3,93;3,96;4,04;4,44;3,96;3,67;3,88
Psykologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/psykologi;71530;Bacheloruddannelse;Aalborg;2 år og 10 måneder;8;436;Selvstudie;Forelæsninger;Projektarbejde;Klasseundervisning;Gruppearbejde;4,05;3,78;4,24;4,06;4,02;4,15;3,94;4,31;4,48;3,31;3,65;3,79
Robotics;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/robotics;79100;Bacheloruddannelse;Aalborg;-101;22;32;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;3,96;3,5;3,8;3,33;3,64;3,83;3,78;3,8;4,22;3,57;3,1;3,91
Samfundsfag;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/samfundsfag;71080,7104;Bacheloruddannelse;Aalborg;2 år og 11 måneder;14;111;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Socialrådgiver;www.ug.dk/uddannelser/professionsbacheloruddannelser/samfundsfagligeogoekonomiskeuddannelser/socialraadgiver;51270;Professionsbacheloruddannelse;Aalborg;3 år og 6 måneder;17;768;Forelæsninger;Selvstudie;Projektarbejde;Gruppearbejde;Klasseundervisning;3,49;3,57;3,78;3,33;3,78;3,87;3,58;3,89;4,22;3,42;3,48;3,71
Sociologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/sociologi;71310;Bacheloruddannelse;Aalborg;2 år og 10 måneder;16;546;Projektarbejde;Forelæsninger;Selvstudie;Øvelsestimer;Gruppearbejde;3,92;3,71;3,98;3,52;3,89;4,05;3,83;4,19;4,39;3,11;3,71;3,83
Software;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software;79300,3105;Bacheloruddannelse;Aalborg;2 år og 9 måneder;33;551;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;3,86;3,35;4,21;3,37;3,74;4,01;3,84;4,16;4,48;3,67;3,7;3,79
Spansk, Sprog og Internationale studier;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/spansk-sprog-og-internationale-studier-sis;66320,30390,30410,66520;Bacheloruddannelse;Aalborg;3 år og 1 måneder;31;86;Selvstudie;Projektarbejde;Klasseundervisning;Gruppearbejde;Faglig vejledning fra din underviser;4;3,69;3,54;3,44;3,73;3,69;3,69;4,31;4,5;3,75;3,63;3,38
Sundhedsteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sundhedsteknologi;80420,793;Bacheloruddannelse;Aalborg;2 år og 9 måneder;42;409;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,11;4,08;4,31;3,97;4,16;4,24;4,08;4,21;4,58;3,79;3,68;3,95
Sustainable biotechnology;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sustainable-biotechnology;79240;Bacheloruddannelse;København SV;-101;16;50;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Øvelsestimer;3,76;3,62;3,67;3,1;3,71;3,67;3,67;3,62;3,86;3,55;3,29;3,48
Teknoantropologi, København SV;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/oevrigetekniskvidenskab/teknoantropologi;80520;Bacheloruddannelse;Aalborg;2 år og 10 måneder;18;359;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Klasseundervisning;4,08;3,77;3,86;3,46;4;3,88;3,77;4,23;4,15;3,69;3,58;4,04
Teknoantropologi, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/oevrigetekniskvidenskab/teknoantropologi;80520;Bacheloruddannelse;København SV;2 år og 10 måneder;18;359;Projektarbejde;Selvstudie;Forelæsninger;Gruppearbejde;Klasseundervisning;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Tysk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/sprog/tysk;66420;Bacheloruddannelse;Aalborg;2 år og 8 måneder;37;43;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Økonomi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/oekonomi;70620;Bacheloruddannelse;Aalborg;2 år og 10 måneder;15;114;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Faglig vejledning fra din underviser;3,67;3,28;4,08;3,48;3,9;3,97;3,7;4,33;4,5;3,27;3,87;3,93
